2026-07-07 16:11:40 | ERROR | __main__ | workflow.py:189 | Agentic ML audit workflow failed: name 'problem_type_node' is not defined
2026-07-07 16:16:14 | INFO | __main__ | workflow.py:174 | Starting Agentic ML audit workflow
2026-07-07 16:16:14 | INFO | __main__ | workflow.py:39 | Workflow node started: load_dataset
2026-07-07 16:16:14 | INFO | __main__ | workflow.py:52 | Workflow node started: profile_dataset
2026-07-07 16:16:14 | INFO | src.audit.profiler | profiler.py:145 | Dataset profiling completed
2026-07-07 16:16:14 | INFO | __main__ | workflow.py:63 | Workflow node started: problem_type
2026-07-07 16:16:14 | INFO | src.audit.problem_type | problem_type.py:68 | Problem type detected: multiclass_classification
2026-07-07 16:16:14 | INFO | __main__ | workflow.py:76 | Workflow node started: data_quality
2026-07-07 16:16:14 | ERROR | __main__ | workflow.py:190 | Agentic ML audit workflow failed: run_data_quality_audit() missing 1 required positional argument: 'target_column'
2026-07-07 16:17:10 | INFO | __main__ | workflow.py:175 | Starting Agentic ML audit workflow
2026-07-07 16:17:10 | INFO | __main__ | workflow.py:39 | Workflow node started: load_dataset
2026-07-07 16:17:10 | INFO | __main__ | workflow.py:52 | Workflow node started: profile_dataset
2026-07-07 16:17:10 | INFO | src.audit.profiler | profiler.py:145 | Dataset profiling completed
2026-07-07 16:17:10 | INFO | __main__ | workflow.py:63 | Workflow node started: problem_type
2026-07-07 16:17:10 | INFO | src.audit.problem_type | problem_type.py:68 | Problem type detected: multiclass_classification
2026-07-07 16:17:10 | INFO | __main__ | workflow.py:76 | Workflow node started: data_quality
2026-07-07 16:17:10 | INFO | src.audit.data_quality | data_quality.py:235 | Data quality audit completed
2026-07-07 16:17:10 | INFO | __main__ | workflow.py:87 | Workflow node started: leakage
2026-07-07 16:17:10 | ERROR | __main__ | workflow.py:191 | Agentic ML audit workflow failed: run_leakage_check() got an unexpected keyword argument 'problem_type'
2026-07-07 16:18:04 | INFO | __main__ | workflow.py:174 | Starting Agentic ML audit workflow
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:39 | Workflow node started: load_dataset
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:52 | Workflow node started: profile_dataset
2026-07-07 16:18:05 | INFO | src.audit.profiler | profiler.py:145 | Dataset profiling completed
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:63 | Workflow node started: problem_type
2026-07-07 16:18:05 | INFO | src.audit.problem_type | problem_type.py:68 | Problem type detected: multiclass_classification
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:76 | Workflow node started: data_quality
2026-07-07 16:18:05 | INFO | src.audit.data_quality | data_quality.py:235 | Data quality audit completed
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:87 | Workflow node started: leakage
2026-07-07 16:18:05 | INFO | src.audit.leakage | leakage.py:269 | Leakage check completed
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:98 | Workflow node started: metric_recommendation
2026-07-07 16:18:05 | INFO | src.audit.metric_recommender | metric_recommender.py:22 | Starting metric recommendation
2026-07-07 16:18:05 | INFO | src.audit.metric_recommender | metric_recommender.py:84 | Metric recommendation completed successfully
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:108 | Workflow node started: class_imbalance
2026-07-07 16:18:05 | INFO | src.audit.class_imbalance | class_imbalance.py:22 | Starting class imbalance detection
2026-07-07 16:18:05 | INFO | src.audit.class_imbalance | class_imbalance.py:87 | Class imbalance detection completed successfully
2026-07-07 16:18:05 | INFO | __main__ | workflow.py:120 | Workflow node started: baseline_model
2026-07-07 16:18:05 | INFO | src.audit.baseline_models | baseline_models.py:41 | Starting baseline model training
2026-07-07 16:18:05 | INFO | src.audit.preprocessing | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 16:18:05 | INFO | src.audit.preprocessing | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 16:18:05 | INFO | src.audit.preprocessing | preprocessing.py:133 | Starting train-test split
2026-07-07 16:18:05 | INFO | src.audit.preprocessing | preprocessing.py:97 | Splitting features and target
2026-07-07 16:18:05 | WARNING | src.audit.preprocessing | preprocessing.py:147 | Stratified split skipped because at least one class has less than 2 samples
2026-07-07 16:18:05 | INFO | src.audit.preprocessing | preprocessing.py:165 | Train-test split completed successfully
2026-07-07 16:18:05 | INFO | src.audit.baseline_models | baseline_models.py:69 | Training baseline model: Logistic Regression
2026-07-07 16:18:05 | WARNING | src.audit.baseline_models | baseline_models.py:204 | ROC-AUC skipped: Number of classes in y_true not equal to the number of columns in 'y_score'
